order,combo,o_info
3,"('draw_range', 'draw_sum', 'n5_mod5')",-0.11730728789958533
3,"('draw_std_roll_std', 'draw_sum', 'n4_delta2')",-0.11715895799315135
3,"('draw_sum', 'n5_delta', 'n5_mod7')",-0.11713297191415606
3,"('draw_sum', 'n1_delta2', 'n1_mod7')",-0.11711930196545595
3,"('draw_sum', 'n3_delta', 'n5_mod7')",-0.11664898452539774
3,"('draw_std_roll_std', 'draw_sum', 'n3_delta2')",-0.11650793970710183
3,"('draw_sum', 'n2_mod7', 'n3_delta')",-0.115952023070367
3,"('draw_range_roll_std', 'draw_sum', 'n2_mod7')",-0.11569672354995397
3,"('draw_sum', 'n1_mod5', 'n4_delta2')",-0.11548495172590378
3,"('draw_std_roll_std', 'draw_sum', 'n1_mod7')",-0.11537261017953071
3,"('draw_sum', 'draw_sum_roll_std', 'n2_mod7')",-0.11526194441400506
3,"('draw_range_roll_mean', 'draw_sum', 'n3_mod5')",-0.11475220181628742
3,"('draw_sum', 'n1_mod5', 'sum_hurst')",-0.11450424408333326
3,"('draw_std_roll_mean', 'draw_sum', 'n3_mod5')",-0.11438952649303147
3,"('draw_sum', 'n2_mod7', 'n4_delta')",-0.1141875684450433
3,"('draw_sum', 'draw_sum_roll_std', 'n3_delta2')",-0.11412934100672167
3,"('draw_std_roll_mean', 'draw_sum', 'n5_mod5')",-0.11409406254022159
3,"('draw_sum', 'n1_mod5', 'pb_delta')",-0.11392123432779044
3,"('draw_sum', 'n2_delta', 'n4_mod7')",-0.11289946671895379
3,"('draw_std_roll_mean', 'draw_sum', 'n1_mod5')",-0.11269904453838109
3,"('draw_sum', 'draw_sum_roll_mean', 'n5_mod5')",-0.11239945310225252
3,"('draw_range_roll_std', 'draw_sum', 'n4_mod7')",-0.1117380294282917
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_mod5')",-0.11154166920890418
3,"('draw_sum', 'n4_delta', 'n5_mod7')",-0.1111313052185352
3,"('draw_range', 'draw_sum', 'draw_sum_roll_std')",-0.1104240952802904
3,"('draw_sum', 'n1_delta2', 'n4_delta2')",-0.10979813285133844
3,"('draw_sum', 'n4_mod5', 'sum_hurst')",-0.1096731593129352
3,"('draw_range', 'draw_sum', 'n3_mod5')",-0.1094096308351169
3,"('draw_sum', 'n5_mod5', 'sum_hurst')",-0.10904762706499938
3,"('draw_sum', 'n1_mod7', 'n5_delta')",-0.10890748707605091
3,"('draw_sum', 'n4_mod5', 'pb_delta')",-0.10884703318608935
3,"('draw_sum', 'n4_mod3', 'n4_mod7')",-0.10869681393744912
3,"('draw_sum', 'draw_sum_roll_std', 'n1_mod7')",-0.10837993699593618
3,"('draw_std_roll_mean', 'draw_sum', 'n4_mod5')",-0.10827108119135431
3,"('draw_sum', 'n2_delta', 'n2_mod7')",-0.10784316197041832
3,"('draw_std', 'draw_sum', 'draw_sum_roll_std')",-0.10753295476579439
3,"('draw_range_roll_mean', 'draw_sum', 'n4_mod5')",-0.1073291501153193
3,"('draw_range_roll_mean', 'draw_sum', 'n1_mod5')",-0.10725299397708099
3,"('draw_sum', 'n1_mod7', 'n4_delta')",-0.10677849209608681
3,"('draw_std_roll_std', 'draw_sum', 'n2_mod7')",-0.10673249999345913
3,"('draw_sum', 'n1_delta', 'n3_mod7')",-0.1065548961987055
3,"('draw_std', 'draw_sum', 'n3_mod5')",-0.10639497779332174
3,"('draw_sum', 'n2_mod5', 'pb_delta')",-0.10638758121646319
3,"('draw_range', 'draw_sum', 'n4_mod5')",-0.10607297071679866
3,"('draw_std', 'draw_sum', 'n4_mod5')",-0.10602006280818621
3,"('draw_std_roll_std', 'draw_sum', 'n3_delta')",-0.10517622116461567
3,"('draw_std_roll_std', 'draw_sum', 'n3_mod7')",-0.1051333180275158
3,"('draw_std_roll_std', 'draw_sum', 'n4_delta')",-0.10508325751033354
3,"('draw_sum', 'n5_mod3', 'n5_mod7')",-0.10469435532226079
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_mod5')",-0.10468772758705924
3,"('draw_sum', 'n1_mod7', 'n3_delta')",-0.10462407357260872
3,"('draw_range', 'draw_sum', 'n1_n4_sum')",-0.10448977563492612
3,"('draw_range_roll_std', 'draw_sum', 'n3_mod7')",-0.10440876313123582
3,"('draw_range', 'draw_sum', 'n2_mod5')",-0.1039943298421484
3,"('draw_sum', 'n1_mod7', 'n2_delta')",-0.10399008831521073
3,"('draw_range_roll_std', 'draw_sum', 'n5_mod7')",-0.10381048891368572
3,"('draw_sum', 'n1_delta2', 'n5_delta2')",-0.10350976854698501
3,"('draw_range_roll_std', 'draw_sum', 'n3_delta')",-0.10305209944846183
3,"('draw_sum', 'n2_mod5', 'n3_delta2')",-0.10278153809766266
3,"('draw_sum', 'n3_delta', 'n3_mod7')",-0.10253432751447988
3,"('draw_sum', 'n3_mod3', 'n3_mod7')",-0.1023657849264481
3,"('draw_sum', 'n3_mod5', 'pb_delta')",-0.10234514938894712
3,"('draw_sum', 'n3_mod7', 'n5_delta')",-0.10226850170049318
3,"('draw_sum', 'n5_mod5', 'pb_delta')",-0.10224289243541484
3,"('draw_std_roll_std', 'draw_sum', 'n5_mod7')",-0.1021316790457405
3,"('draw_sum', 'n2_mod5', 'n4_delta2')",-0.10189889580453126
3,"('draw_sum', 'n2_delta', 'n3_mod7')",-0.10173915683128953
3,"('draw_sum', 'n1_delta', 'n1_mod7')",-0.10098515467623237
3,"('draw_sum', 'n2_mod5', 'n4_delta')",-0.10086650014219423
3,"('draw_sum', 'n2_mod5', 'n3_mod7')",-0.1006973843141612
3,"('draw_sum', 'n2_delta2', 'n3_mod5')",-0.10045812989086755
3,"('draw_range_roll_std', 'draw_sum', 'n1_delta2')",-0.10014438122179214
3,"('draw_sum', 'n2_mod5', 'n5_delta2')",-0.10002654066136785
3,"('draw_sum', 'n4_delta2', 'n4_mod5')",-0.0996567594410056
3,"('draw_sum', 'draw_sum_roll_std', 'n2_delta2')",-0.09937617634305518
3,"('draw_sum', 'n2_delta2', 'n5_delta2')",-0.09913653857746141
3,"('draw_sum', 'n1_mod7', 'n4_mod5')",-0.09855981665640812
3,"('draw_sum', 'n3_delta2', 'n3_mod5')",-0.09851112062793455
3,"('draw_range_roll_std', 'draw_sum', 'n2_delta')",-0.09851094348228528
3,"('draw_sum', 'draw_sum_roll_std', 'n5_mod7')",-0.09823947211165418
